,Unnamed: 0,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration
0,18630.0,2013-10-29,76ers,,Jason Richardson,placed on IL recovering from surgery on left knee (out for season),Jason Richardson,2013-14,L recovering from surgery on left knee (out for season),knee,245
1,18632.0,2013-10-29,Clippers,,Maalik Wayns,placed on IL recovering from surgery on left knee to repair torn meniscus,Maalik Wayns,2013-14,L recovering from surgery on left knee to repair torn meniscus,knee,64
2,18633.0,2013-10-29,Heat,,Greg Oden,placed on IL with surgery on knee,Greg Oden,2013-14,surgery on knee,knee,78
3,18631.0,2013-10-29,76ers,,Nerlens Noel,placed on IL recovering from surgery on left knee (out for season),Nerlens Noel,2013-14,L recovering from surgery on left knee (out for season),knee,337
4,18637.0,2013-10-29,Magic,,Glen Davis,placed on IL recovering from surgery to repair fractured left foot,Glen Davis,2013-14,L recovering from surgery to repair fractured left foot,foot,25
5,18639.0,2013-10-29,Pacers,,Danny Granger,placed on IL with strained left calf,Danny Granger,2013-14,strained left calf,lower leg,52
6,18641.0,2013-10-29,Wizards,,Otto Porter Jr.,placed on IL with strained right hip flexor,Otto Porter Jr.,2013-14,strained right hip flexor,core and hip,38
7,18636.0,2013-10-29,Lakers,,Kobe Bryant,placed on IL recovering from surgery to repair torn left Achilles tendon,Kobe Bryant,2013-14,L recovering from surgery to repair torn left Achilles tendon,foot,40
8,18652.0,2013-10-30,Hawks,,Gustavo Ayon,placed on IL with strained rotator cuff in right shoulder,Gustavo Ayon,2013-14,strained rotator cuff in right shoulder,upper body,10
9,18648.0,2013-10-30,Bucks,,Ekpe Udoh,placed on IL recovering from arthroscopic surgery on right knee,Ekpe Udoh,2013-14,L recovering from arthroscopic surgery on right knee,knee,7
10,18650.0,2013-10-30,Cavaliers,,Sergey Karasev,placed on IL with sprained left ankle,Sergey Karasev,2013-14,sprained left ankle,foot,2
11,18651.0,2013-10-30,Celtics,,Rajon Rondo,placed on IL recovering from surgery on left / right  knee to repair torn ACL,Rajon Rondo,2013-14,L recovering from surgery on left / right  knee to repair torn ACL,knee,79
12,18653.0,2013-10-30,Hawks,,Lou Williams,placed on IL recovering from surgery on right knee,Lou Williams,2013-14,L recovering from surgery on right knee,knee,16
13,18657.0,2013-10-30,Jazz,,Jeremy Evans,placed on IL with strained right rotator cuff,Jeremy Evans,2013-14,strained right rotator cuff,upper body,21
14,18656.0,2013-10-30,Jazz,,Andris Biedrins,placed on IL with sprained left  / right ankle,Andris Biedrins,2013-14,sprained left  ,foot,30
15,18658.0,2013-10-30,Jazz,,Trey Burke,placed on IL recovering from surgery to repair fractured right index finger,Trey Burke,2013-14,L recovering from surgery to repair fractured right index finger,hand,21
16,18659.0,2013-10-30,Kings,,Carl Landry,placed on IL recovering from surgery on left hip to repair torn hip flexor muscle,Carl Landry,2013-14,L recovering from surgery on left hip to repair torn hip flexor muscle,core and hip,81
17,18643.0,2013-10-30,Blazers,,C.J. McCollum,placed on IL recovering from surgery on left foot to repair fracture,C.J. McCollum,2013-14,L recovering from surgery on left foot to repair fracture,foot,69
18,18642.0,2013-10-30,76ers,,Arnett Moultrie,placed on IL recovering from surgery on left ankle,Arnett Moultrie,2013-14,L recovering from surgery on left ankle,foot,102
19,18654.0,2013-10-30,Heat,,Dwyane Wade,placed on IL with sore knees,Dwyane Wade,2013-14,sore knees,knee,2
20,18644.0,2013-10-30,Blazers,,Earl Watson,placed on IL with strained left calf,Earl Watson,2013-14,strained left calf,lower leg,2
21,18667.0,2013-10-30,Nets,,Andrei Kirilenko,placed on IL with sore back,Andrei Kirilenko,2013-14,sore back,back,2
22,18671.0,2013-10-30,Pelicans,,Ryan Anderson,placed on IL with fractured toe on right foot,Ryan Anderson,2013-14,fractured toe on right foot,foot,17
23,18664.0,2013-10-30,Mavericks,,Brandan Wright,placed on IL with fractured left shoulder ,Brandan Wright,2013-14,fractured left shoulder ,upper body,45
24,18665.0,2013-10-30,Mavericks,,Devin Harris,placed on IL recovering from surgery on left foot/toe,Devin Harris,2013-14,L recovering from surgery on left foot/toe,foot,80
25,18666.0,2013-10-30,Mavericks,,Shane Larkin,placed on IL recovering from surgery to repair fractured right ankle,Shane Larkin,2013-14,L recovering from surgery to repair fractured right ankle,foot,19
26,18668.0,2013-10-30,Nuggets,,Danilo Gallinari,placed on IL recovering from surgery on left knee to repair torn ACL,Danilo Gallinari,2013-14,L recovering from surgery on left knee to repair torn ACL,knee,14
27,18669.0,2013-10-30,Nuggets,,Wilson Chandler,placed on IL with strained left hamstring,Wilson Chandler,2013-14,strained left hamstring,upper leg,14
28,18670.0,2013-10-30,Pelicans,,Darius Miller,placed on IL recovering from surgery on left foot to repair stress fracture,Darius Miller,2013-14,L recovering from surgery on left foot to repair stress fracture,foot,30
29,18679.0,2013-10-30,Thunder,,Russell Westbrook,placed on IL recovering from arthroscopic surgery on right knee,Russell Westbrook,2013-14,L recovering from arthroscopic surgery on right knee,knee,4
30,18672.0,2013-10-30,Pistons,,Brandon Jennings,placed on IL with impacted wisdom tooth,Brandon Jennings,2013-14,impacted wisdom tooth,head and neck,4
31,18681.0,2013-10-30,Timberwolves,,Chase Budinger,placed on IL recovering from surgery on left knee,Chase Budinger,2013-14,L recovering from surgery on left knee,knee,70
32,18682.0,2013-10-30,Warriors,,Festus Ezeli,placed on IL recovering from surgery on right knee (out for season),Festus Ezeli,2013-14,L recovering from surgery on right knee (out for season),knee,336
33,18683.0,2013-10-30,Wizards,,Chris Singleton,placed on IL recovering from surgery on left foot to repair fractured bone,Chris Singleton,2013-14,L recovering from surgery on left foot to repair fractured bone,foot,27
34,18673.0,2013-10-30,Pistons,,Rodney Stuckey,placed on IL recovering from surgery to repair fractured right thumb,Rodney Stuckey,2013-14,L recovering from surgery to repair fractured right thumb,hand,2
35,18688.0,2013-11-01,Bobcats,,Al Jefferson,placed on IL with sprained right ankle,Al Jefferson,2013-14,sprained right ankle,foot,10
36,18704.0,2013-11-01,Spurs,,Tim Duncan,placed on IL with bruised chest,Tim Duncan,2013-14,bruised chest,upper body,0
37,18699.0,2013-11-01,Raptors,,Steve Novak,placed on IL with back injury,Steve Novak,2013-14,back injury,back,7
38,18702.0,2013-11-01,Rockets,,Patrick Beverley,placed on IL with rib injury,Patrick Beverley,2013-14,rib injury,core and hip,4
39,18711.0,2013-11-03,Timberwolves,,Ronny Turiaf,placed on IL with fractured right elbow,Ronny Turiaf,2013-14,fractured right elbow,arm,64
40,18715.0,2013-11-05,Blazers,,Joel Freeland,placed on IL with strained left hip,Joel Freeland,2013-14,strained left hip,core and hip,3
41,18727.0,2013-11-06,Bucks,,Luke Ridnour,placed on IL with back injury,Luke Ridnour,2013-14,back injury,back,9
42,18733.0,2013-11-06,Spurs,,Matt Bonner,placed on IL with calf injury,Matt Bonner,2013-14,calf injury,lower leg,9
43,18740.0,2013-11-08,Knicks,,Tyson Chandler,placed on IL with fractured right fibula,Tyson Chandler,2013-14,fractured right fibula,lower leg,40
44,18750.0,2013-11-09,Heat,,Udonis Haslem,placed on IL with back spasms,Udonis Haslem,2013-14,back spasms,back,3
45,18752.0,2013-11-09,Nets,,Andrei Kirilenko,placed on IL with back injury,Andrei Kirilenko,2013-14,back injury,back,52
46,18756.0,2013-11-10,Thunder,,Nick Collison,placed on IL with bruised left hip,Nick Collison,2013-14,bruised left hip,core and hip,3
