,foot,knee,upper leg,lower leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,upper leg_count,lower leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count
Kenny Battle,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0
Marcus Webb,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Corey Williams,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0
Scott Williams,23,164,41,0,32,0,22,0,9,0,1,4,1,0,2,0,1,0,1,0
Delaney Rudd,0,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rodney McCray,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kevin Duckworth,312,115,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
Jerrod Mustaf,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Henry James,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anthony Cook,0,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jerome Richardson / Pooh Richardson,91,0,27,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
Chris Mullin,51,108,0,22,11,0,39,0,0,0,1,2,0,1,1,0,1,0,0,0
Pervis Ellison,223,68,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
Keith Askins,14,26,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Greg Grant,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roy Tarpley,0,46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Damon Bailey,0,340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scott Haskin,0,0,0,0,512,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Frank Brickowski,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,3,0,0
Geert Hammink,0,312,0,0,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Dennis Scott,0,4,54,0,27,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0
Lionel Simmons,0,82,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Doug Christie,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthony Bonner,10,26,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Chris Childs,104,0,20,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
