,level_0,index,Unnamed: 0,Unnamed: 0.1,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration,foot,knee,lower leg,upper leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,lower leg_count,upper leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count,Total Duration,Total num. of inj,days since start,Season Type,Date_adjusted,7_day_back,28_day_back,playoff start date,days_since_start_of_playoffs,player_id,Team_id
0,49,49,49,18769.0,2013-11-12,Lakers,,Steve Nash,placed on IL with sore back,Steve Nash,2013-14,sore back,back,84,0,0,50,0,3,0,0,14,0,0,0,0,1,0,2,0,0,1,0,0,67,4,14,Regular Season,11/12/2013,11/05/2013,10/29/2013,04/19/2014,0,959,1610612747
1,50,50,50,18771.0,2013-11-12,Warriors,,Toney Douglas,placed on IL with stress reaction in left tibia,Toney Douglas,2013-14,stress reaction in left tibia,lower leg,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Regular Season,11/12/2013,11/05/2013,10/29/2013,04/19/2014,0,201962,1610612744
2,51,51,51,18785.0,2013-11-15,Hornets,,Al Jefferson,placed on IL with ankle injury,Al Jefferson,2013-14,ankle injury,foot,7,50,226,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,276,6,17,Regular Season,11/15/2013,11/08/2013,10/29/2013,04/19/2014,0,2744,1610612766
3,52,52,52,18786.0,2013-11-15,Bucks,,Larry Sanders,placed on IL recovering from surgery on right thumb to repaor torn ligament,Larry Sanders,2013-14,L recovering from surgery on right thumb to repaor torn ligament,hand,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Regular Season,11/15/2013,11/08/2013,10/29/2013,04/19/2014,0,202336,1610612749
4,53,53,53,18792.0,2013-11-15,Pistons,,Chauncey Billups,placed on IL with tendinitis in knee,Chauncey Billups,2013-14,tendinitis in knee,knee,25,382,6,67,17,0,0,6,41,7,0,3,3,7,1,0,0,1,1,1,0,526,17,17,Regular Season,11/15/2013,11/08/2013,10/29/2013,04/19/2014,0,1497,1610612765
5,54,54,54,18807.0,2013-11-16,Pelicans,,Greg Stiemsma,placed on IL with sprained MCL in left knee,Greg Stiemsma,2013-14,sprained MCL in left knee,knee,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Regular Season,11/16/2013,11/09/2013,10/29/2013,04/19/2014,0,201880,1610612740
6,55,55,55,18806.0,2013-11-16,Nets,,Paul Pierce,placed on IL with groin injury,Paul Pierce,2013-14,groin injury,upper leg,2,68,12,0,0,0,0,9,0,0,0,3,1,0,1,0,0,2,0,0,0,89,7,18,Regular Season,11/16/2013,11/09/2013,10/29/2013,04/19/2014,0,1718,1610612751
7,56,56,56,18803.0,2013-11-16,Knicks,,Metta World Peace,placed on IL with sore left knee,Metta World Peace,2013-14,sore left knee,knee,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Regular Season,11/16/2013,11/09/2013,10/29/2013,04/19/2014,0,1897,1610612752
8,57,57,57,18805.0,2013-11-16,Nets,,Kevin Garnett,placed on IL with sprained right ankle,Kevin Garnett,2013-14,sprained right ankle,foot,2,6,206,0,16,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,228,7,18,Regular Season,11/16/2013,11/09/2013,10/29/2013,04/19/2014,0,708,1610612751
9,58,58,58,18811.0,2013-11-17,Cavaliers,,Will Bynum,placed on IL with groin injury,Will Bynum,2013-14,groin injury,upper leg,8,35,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,37,3,19,Regular Season,11/17/2013,11/10/2013,10/29/2013,04/19/2014,0,101198,1610612739
