,Date,Team,Acquired,Relinquished,Notes
0,1992-11-05,Cavaliers,,Jay Guidinger,placed on IL
1,1992-11-05,Cavaliers,,Jerome Lane,placed on IL
2,1992-11-05,Celtics,,Kenny Battle,placed on IL with inflamed tendon between fourth and fifth fingers on left hand
3,1992-11-05,Celtics,,Marcus Webb,placed on IL with pulled left groin
4,1992-11-13,Kings,,Anthony Webb / Spud Webb,placed on IL with torn ligaments in left wrist
5,1992-11-18,Celtics,,Ed Pinckney,placed on IL with strained left knee & calf
6,1992-11-18,Celtics,Marcus Webb,,activated from IL
7,1992-11-19,Celtics,Kenny Battle,,activated from IL
8,1992-11-19,Nuggets,,Robert Werdann / Rob Werdann,placed on IL
9,1992-11-19,Nuggets,Gary Plummer,,activated from IL
10,1992-12-02,Bulls,,Corey Williams,placed on IL with abdominal strain
11,1992-12-03,Cavaliers,Jerome Lane,,activated from IL
12,1992-12-04,Blazers,,Jerome Kersey,placed on IL with sore left knee
13,1992-12-10,Rockets,,Kennard Winchester,placed on IL
14,1992-12-10,Rockets,Wayne Rollins / Tree Rollins,,activated from IL
15,1992-12-15,Bulls,Corey Williams,,activated from IL
16,1992-12-23,Hawks,,Dominique Wilkins,placed on IL with broken fourth finger on right hand
17,1992-12-30,Blazers,,Clyde Drexler,placed on IL with sore right knee
18,1992-12-31,Cavaliers,,John Williams / Hot Rod Williams,placed on IL
19,1992-12-31,Cavaliers,Jay Guidinger,,activated from IL
20,1993-01-08,Bulls,,Scott Williams,placed on IL with right knee tendinitis
21,1993-01-12,Blazers,,Delaney Rudd,placed on IL with left knee tendinitis
22,1993-01-18,Bulls,,Rodney McCray,placed on IL with sprained right knee
23,1993-01-18,Bulls,Scott Williams,,activated from IL
24,1993-01-20,Spurs,Willie Anderson,,activated from IL
25,1993-02-08,Clippers,,Ken Norman,placed on IL with chicken pox
26,1993-02-08,Knicks,,Eric Anderson (W.),placed on IL
27,1993-02-08,Knicks,Bo Kimble,,activated from IL
28,1993-02-10,Bulls,,John Paxson,placed on IL
29,1993-02-18,Blazers,Delaney Rudd,,activated from IL
30,1993-02-22,Bulls,,Bill Cartwright,placed on IL
31,1993-02-23,Blazers,Delaney Rudd,,activated from IL
32,1993-02-23,Bulls,Rodney McCray,,activated from IL
33,1993-02-23,Clippers,Ken Norman,,activated from IL
34,1993-02-25,Magic,,Terry Catledge,placed on IL
35,1993-02-25,Magic,Dennis Scott,,activated from IL
36,1993-03-02,Blazers,,Clyde Drexler,placed on IL
37,1993-03-02,Blazers,Delaney Rudd,,activated from IL
38,1993-03-02,Warriors,Billy Owens,,activated from IL
39,1993-03-11,Bucks,,Orlando Woolridge,placed on IL
40,1993-03-11,Bucks,Todd Day,,activated from IL
41,1993-03-11,Hawks,,Blair Rasmussen,placed on IL
42,1993-03-19,Bulls,,Trent Tucker,placed on IL
43,1993-03-19,Bulls,John Paxson,,activated from IL
44,1993-03-23,Blazers,,Kevin Duckworth,placed on IL with sore right knee
45,1993-03-24,Bulls,,Corey Williams,placed on IL
46,1993-03-24,Bulls,Bill Cartwright,,activated from IL
47,1993-03-26,Suns,,Jerrod Mustaf,placed on IL with bruised right thigh
48,1993-03-30,Bulls,,Darrell Walker,placed on IL
49,1993-03-30,Bulls,Trent Tucker,,activated from IL
50,1993-04-02,Blazers,,Joe Wolf,placed on IL with upper respiratory infection
51,1993-04-02,Blazers,Kevin Duckworth,,activated from IL
52,1993-04-05,Bucks,,Frank Brickowski,placed on IL
53,1993-04-05,Bucks,Orlando Woolridge,,activated from IL
54,1993-04-06,Blazers,Delaney Rudd,,activated from IL
55,1993-04-11,Suns,Jerrod Mustaf,,activated from IL
56,1993-04-15,Bucks,,Danny Schayes,placed on IL
57,1993-04-15,Bucks,Frank Brickowski,,activated from IL
58,1993-04-20,Bulls,,Ed Nealy,placed on IL
59,1993-04-20,Bulls,Darrell Walker,,activated from IL
60,1993-09-30,Knicks,,Tim McCormick,placed on IL
61,1993-11-04,Bulls,,John Paxson,placed on IL
62,1993-11-04,Bulls,,Scott Williams,placed on IL
63,1993-11-04,Clippers,,Henry James,placed on IL with left knee tendinitis
64,1993-11-04,Magic,,Anthony Cook,placed on IL with recovering from surgery on right knee
65,1993-11-08,Bulls,,Scottie Pippen,placed on IL
66,1993-11-09,Cavaliers,,Larry Nance Sr.,placed on IL
67,1993-11-16,Clippers,Henry James,,activated from IL
68,1993-11-24,Cavaliers,,Gerald Madkins,placed on IL
69,1993-11-24,Cavaliers,Terrell Brandon,,activated from IL
70,1993-11-30,Bulls,,Will Perdue,placed on IL
71,1993-11-30,Bulls,Scottie Pippen,,activated from IL
72,1993-12-20,Pacers,,Jerome Richardson / Pooh Richardson,placed on IL with stress fracture in right leg (date approximate)
73,1993-12-27,Magic,Anthony Cook,,activated from IL
74,1993-12-30,Hornets,,Larry Johnson (Demetric),placed on IL
75,1994-01-04,Bulls,,Bill Cartwright,placed on IL
76,1994-01-04,Bulls,Will Perdue,,activated from IL
77,1994-01-05,Knicks,,Hubert Davis,placed on IL
78,1994-01-05,Lakers,,Sam Bowie,placed on IL
79,1994-01-05,Mavericks,Terry Davis,,activated from IL
80,1994-01-05,Pistons,Dan O'Sullivan,,activated from IL
81,1994-01-12,Bulls,John Paxson,,activated from IL
82,1994-01-16,Pacers,,Vern Fleming,placed on IL with pulled right hamstring
83,1994-01-16,Pacers,Jerome Richardson / Pooh Richardson,,activated from IL
84,1994-01-19,Bulls,,Stacey King,placed on IL
85,1994-01-19,Bulls,Bill Cartwright,,activated from IL
86,1994-02-01,Bulls,,Dave Johnson,placed on IL
87,1994-02-01,Bulls,Scott Williams,,activated from IL
88,1994-02-15,Suns,,Jerrod Mustaf,placed on IL with upper respiratory infection
89,1994-02-16,Bulls,,Toni Kukoc,placed on IL
90,1994-02-16,Bulls,Stacey King,,activated from IL
91,1994-02-23,Magic,Larry Krystkowiak,,activated from IL
92,1994-02-25,Bulls,,Bill Cartwright,placed on IL
93,1994-02-25,Bulls,Toni Kukoc,,activated from IL
94,1994-02-25,Lakers,,Antonio Harvey,placed on IR with strained left hip muscle
95,1994-02-26,76ers,,Shawn Bradley,placed on IL recovering from surgery on left knee
96,1994-02-26,Suns,Jerrod Mustaf,,activated from IL
97,1994-03-08,Bulls,,John Paxson,placed on IL
98,1994-03-15,Bulls,,Will Perdue,placed on IL
99,1994-03-15,Bulls,Bill Cartwright,,activated from IL
100,1994-03-24,Bullets,,Pervis Ellison,placed on IL
