,Unnamed: 0,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration
0,2.0,1992-11-05,Celtics,,Kenny Battle,placed on IL with inflamed tendon between fourth and fifth fingers on left hand,Kenny Battle,1992-93,inflamed tendon between fourth and fifth fingers on left hand,hand,14
1,3.0,1992-11-05,Celtics,,Marcus Webb,placed on IL with pulled left groin,Marcus Webb,1992-93,pulled left groin,upper leg,13
2,10.0,1992-12-02,Bulls,,Corey Williams,placed on IL with abdominal strain,Corey Williams,1992-93,abdominal strain,core and hip,13
3,20.0,1993-01-08,Bulls,,Scott Williams,placed on IL with right knee tendinitis,Scott Williams,1992-93,right knee tendinitis,knee,10
4,21.0,1993-01-12,Blazers,,Delaney Rudd,placed on IL with left knee tendinitis,Delaney Rudd,1992-93,left knee tendinitis,knee,84
5,22.0,1993-01-18,Bulls,,Rodney McCray,placed on IL with sprained right knee,Rodney McCray,1992-93,sprained right knee,knee,36
6,44.0,1993-03-23,Blazers,,Kevin Duckworth,placed on IL with sore right knee,Kevin Duckworth,1992-93,sore right knee,knee,10
7,47.0,1993-03-26,Suns,,Jerrod Mustaf,placed on IL with bruised right thigh,Jerrod Mustaf,1992-93,bruised right thigh,upper leg,16
8,63.0,1993-11-04,Clippers,,Henry James,placed on IL with left knee tendinitis,Henry James,1993-94,left knee tendinitis,knee,12
9,64.0,1993-11-04,Magic,,Anthony Cook,placed on IL with recovering from surgery on right knee,Anthony Cook,1993-94,recovering from surgery on right knee,knee,53
10,72.0,1993-12-20,Pacers,,Jerome Richardson / Pooh Richardson,placed on IL with stress fracture in right leg ,Jerome Richardson / Pooh Richardson,1993-94,stress fracture in right leg ,upper leg,27
11,110.0,1994-10-27,Warriors,,Chris Mullin,"placed on IR with chip fracture and strained ligament in left knee, and pulled hamstring (out 6-8 weeks) ",Chris Mullin,1994-95,"placed on IR with chip fracture and strained ligament in left knee, and pulled hamstring ",knee,75
12,112.0,1994-11-02,Celtics,,Pervis Ellison,placed on IR with injured knees,Pervis Ellison,1994-95,placed on IR with injured knees,knee,40
13,113.0,1994-11-02,Heat,,Keith Askins,placed on IL with left Achilles tendinitis,Keith Askins,1994-95,left Achilles tendinitis,foot,14
14,114.0,1994-11-02,Magic,,Greg Grant,placed on IL with hamstring tendinitis,Greg Grant,1994-95,hamstring tendinitis,upper leg,26
15,115.0,1994-11-02,Mavericks,,Roy Tarpley,placed on IL with bursitis in left knee ,Roy Tarpley,1994-95,bursitis in left knee ,knee,14
16,116.0,1994-11-02,Pacers,,Damon Bailey,placed on IR with chronic tendinitis in both knees,Damon Bailey,1994-95,placed on IR with chronic tendinitis in both knees,knee,340
17,117.0,1994-11-02,Pacers,,Scott Haskin,placed on IL with surgery on back,Scott Haskin,1994-95,surgery on back,back,340
18,141.0,1994-11-03,Kings,,Frank Brickowski,placed on IL with separated right shoulder,Frank Brickowski,1994-95,separated right shoulder,upper body,339
19,148.0,1994-11-03,Magic,,Geert Hammink,placed on IL with sore back,Geert Hammink,1994-95,sore back,back,14
20,147.0,1994-11-03,Magic,,Dennis Scott,placed on IL with sore back,Dennis Scott,1994-95,sore back,back,27
21,142.0,1994-11-03,Kings,,Lionel Simmons,placed on IR with arthroscopic surgery on right knee,Lionel Simmons,1994-95,placed on IR with arthroscopic surgery on right knee,knee,42
22,144.0,1994-11-03,Knicks,,Doug Christie,placed on IL with calcium deposits in ankle,Doug Christie,1994-95,calcium deposits in ankle,foot,54
23,143.0,1994-11-03,Knicks,,Anthony Bonner,placed on IL with loose cartilage in knee,Anthony Bonner,1994-95,loose cartilage in knee,knee,26
24,149.0,1994-11-03,Nets,,Chris Childs,placed on IL with bone bruise in right foot,Chris Childs,1994-95,bone bruise in right foot,foot,54
25,145.0,1994-11-03,Knicks,,Glenn Rivers / Doc Rivers,placed on IR with knee / sprained ankle ,Glenn Rivers / Doc Rivers,1994-95,placed on IR with knee ,foot,26
26,150.0,1994-11-03,Nets,,Eric Floyd / Sleepy Floyd,placed on IL with sore knee,Eric Floyd / Sleepy Floyd,1994-95,sore knee,knee,12
27,155.0,1994-11-03,Rockets,,Chris Jent,placed on IL with sore back,Chris Jent,1994-95,sore back,back,28
28,152.0,1994-11-03,Nuggets,,Darnell Mee,placed on IL with sprained ankle,Darnell Mee,1994-95,sprained ankle,foot,29
29,153.0,1994-11-03,Pacers,,John Williams (S.),placed on IL with sore knee,John Williams (S.),1994-95,sore knee,knee,33
30,154.0,1994-11-03,Pistons,,Ivano Newbill,placed on IL with hamstring injury,Ivano Newbill,1994-95,hamstring injury,upper leg,37
31,156.0,1994-11-03,Rockets,,Eric Riley,placed on IL with sore back and eye,Eric Riley,1994-95,sore back and eye,head and neck,39
32,157.0,1994-11-03,Sonics,,Rich King,placed on IL with knee surgery,Rich King,1994-95,knee surgery,knee,141
33,159.0,1994-11-03,Suns,,Aaron Swinson,placed on IL with sprained ankle,Aaron Swinson,1994-95,sprained ankle,foot,12
34,160.0,1994-11-03,Timberwolves,,Charles Shackleford,placed on IR with possible herniated disk,Charles Shackleford,1994-95,placed on IR with possible herniated disk,back,69
35,163.0,1994-11-03,Warriors,,Dwayne Morton,placed on IL with fractured left thumb,Dwayne Morton,1994-95,fractured left thumb,hand,28
36,151.0,1994-11-03,Nets,,Rick Mahorn,placed on IL with bad back,Rick Mahorn,1994-95,bad back,back,27
37,140.0,1994-11-03,Kings,,Doug Lee,placed on IL with tendinitis in knee,Doug Lee,1994-95,tendinitis in knee,knee,34
38,158.0,1994-11-03,Sonics,,Steve Scheffler,placed on IL with sprained ankle,Steve Scheffler,1994-95,sprained ankle,foot,113
39,138.0,1994-11-03,Hornets,,Tony Bennett,placed on IL with sore foot,Tony Bennett,1994-95,sore foot,foot,168
40,118.0,1994-11-03,Blazers,,Negele Knight,placed on IL with left ankle tendinitis,Negele Knight,1994-95,left ankle tendinitis,foot,31
41,119.0,1994-11-03,Blazers,,Terry Porter (b. 1963-04-08),placed on IL with bone fragments in ankle,Terry Porter (b. 1963-04-08),1994-95,bone fragments in ankle,foot,106
42,120.0,1994-11-03,Bucks,,Eric Murdock,placed on IL with eye injury,Eric Murdock,1994-95,eye injury,head and neck,18
43,122.0,1994-11-03,Bullets,,Jim McIlvaine,placed on IL with sprained ankle,Jim McIlvaine,1994-95,sprained ankle,foot,12
44,123.0,1994-11-03,Bullets,,Kenny Walker,placed on IL with arthroscopic knee surgery,Kenny Walker,1994-95,arthroscopic knee surgery,knee,50
45,124.0,1994-11-03,Bulls,,Bill Wennington,placed on IL with sprained left ankle,Bill Wennington,1994-95,sprained left ankle,foot,13
46,125.0,1994-11-03,Bulls,,Jud Buechler,placed on IL with right knee tendinitis,Jud Buechler,1994-95,right knee tendinitis,knee,13
47,127.0,1994-11-03,Cavaliers,,Brad Daugherty,placed on IR with surgery to repair herniated discs in back,Brad Daugherty,1994-95,placed on IR with surgery to repair herniated discs in back,back,339
48,121.0,1994-11-03,Bullets,,Brent Price,placed on IR with torn ACL (out for season),Brent Price,1994-95,placed on IR with torn ACL ,knee,167
49,129.0,1994-11-03,Cavaliers,,John Battle,placed on IR with surgery on both knees,John Battle,1994-95,placed on IR with surgery on both knees,knee,33
50,128.0,1994-11-03,Cavaliers,,Gerald Wilkins,placed on IL with torn Achilles tendon,Gerald Wilkins,1994-95,torn Achilles tendon,foot,339
51,137.0,1994-11-03,Hornets,,Tom Tolbert,placed on IR with torn foot muscle,Tom Tolbert,1994-95,placed on IR with torn foot muscle,foot,44
52,136.0,1994-11-03,Hornets,,Joe Courtney,placed on IL with strained right rotator cuff,Joe Courtney,1994-95,strained right rotator cuff,upper body,11
53,135.0,1994-11-03,Hawks,,Craig Ehlo,placed in IR with arthroscopic knee surgery,Craig Ehlo,1994-95,placed in IR with arthroscopic knee surgery,knee,26
54,139.0,1994-11-03,Jazz,,Jay Humphries,placed on IL with knee surgery,Jay Humphries,1994-95,knee surgery,knee,30
55,133.0,1994-11-03,Clippers,,Stanley Roberts,placed on IL with ruptured left Achilles tendon,Stanley Roberts,1994-95,ruptured left Achilles tendon,foot,339
56,132.0,1994-11-03,Clippers,,Gary Grant,placed on IL with swelling and inflammation in knee,Gary Grant,1994-95,swelling and inflammation in knee,knee,63
57,131.0,1994-11-03,Clippers,,Bob Martin,placed on IL with bruised heel,Bob Martin,1994-95,bruised heel,foot,32
58,130.0,1994-11-03,Celtics,,Tony Harris,placed on IL with sore back / back spasms,Tony Harris,1994-95,sore back ,back,13
59,134.0,1994-11-03,Hawks,,Blair Rasmussen,placed in IL with degenerative spine damage,Blair Rasmussen,1994-95,degenerative spine damage,back,339
60,164.0,1994-11-04,Bucks,,Roy Hinson,placed on IL with knee injury,Roy Hinson,1994-95,knee injury,knee,338
61,165.0,1994-11-10,Spurs,,Vinny Del Negro,placed on IL with stress reaction in right leg,Vinny Del Negro,1994-95,stress reaction in right leg,upper leg,15
62,166.0,1994-11-10,Suns,,Charles Barkley,placed on IL with strained stomach muscle,Charles Barkley,1994-95,strained stomach muscle,core and hip,16
63,168.0,1994-11-11,Timberwolves,,Micheal Williams,placed on IL with sore left heel,Micheal Williams,1994-95,sore left heel,foot,331
64,169.0,1994-11-14,Hornets,,Michael Adams,placeed on IR with strained left hamstring,Michael Adams,1994-95,placeed on IR with strained left hamstring,upper leg,67
65,172.0,1994-11-15,Nets,,Yinka Dare,placed on IL with right knee tendinitis,Yinka Dare,1994-95,right knee tendinitis,knee,327
66,174.0,1994-11-15,Suns,,Antonio Lang,placed on IL with lower back spasms,Antonio Lang,1994-95,lower back spasms,back,83
67,180.0,1994-11-16,Celtics,,Sherman Douglas,placed on IL with sprained ligament in knee,Sherman Douglas,1994-95,sprained ligament in knee,knee,26
68,177.0,1994-11-16,Bulls,,Luc Longley,placed on IL with stress fracture in left leg,Luc Longley,1994-95,stress fracture in left leg,upper leg,49
69,176.0,1994-11-16,Bulls,,Larry Krystkowiak,placed on IL with right knee surgery,Larry Krystkowiak,1994-95,right knee surgery,knee,16
70,184.0,1994-11-17,Bullets,,Anthony Tucker,placed on IL with right knee tendinitis ,Anthony Tucker,1994-95,right knee tendinitis ,knee,36
71,186.0,1994-11-19,Nuggets,,LaPhonso Ellis,placed on IL with surgery on right knee ,LaPhonso Ellis,1994-95,surgery on right knee ,knee,146
72,187.0,1994-11-20,Blazers,,Rod Strickland,placed on IL with fracture in right wrist,Rod Strickland,1994-95,fracture in right wrist,hand,19
73,189.0,1994-11-25,Spurs,,Terry Cummings,placed on IL with bruised ribs,Terry Cummings,1994-95,bruised ribs,core and hip,11
74,192.0,1994-11-26,Suns,,Kevin Johnson,placed on IL with strained right groin,Kevin Johnson,1994-95,strained right groin,upper leg,16
75,199.0,1994-11-29,Knicks,,Ron Grandison / Ronnie Grandison,placed on IL with left knee tendinitis,Ron Grandison / Ronnie Grandison,1994-95,left knee tendinitis,knee,16
76,195.0,1994-11-29,Bullets,,Gheorghe Muresan,placed on IL with sprained left knee,Gheorghe Muresan,1994-95,sprained left knee,knee,13
77,198.0,1994-11-29,Knicks,,Charlie Ward,placed on IL with sprained right wrist,Charlie Ward,1994-95,sprained right wrist,hand,17
78,202.0,1994-11-30,Hornets,,Kenny Gattison,placed on IR with cervical spine sprain (out for season),Kenny Gattison,1994-95,placed on IR with cervical spine sprain ,head and neck,106
79,203.0,1994-11-30,Magic,,Geert Hammink,placed on IL with sore knee,Geert Hammink,1994-95,sore knee,knee,312
80,204.0,1994-11-30,Magic,,Rodney Dent,placed on IR with serious ligament damage in left knee,Rodney Dent,1994-95,placed on IR with serious ligament damage in left knee,knee,312
81,206.0,1994-11-30,Nets,,Kevin Edwards,placed on IR with partial tear of left Achilles tendon,Kevin Edwards,1994-95,placed on IR with partial tear of left Achilles tendon,foot,312
82,208.0,1994-11-30,Warriors,,Manute Bol,placed on IR with arthroscopic surgery on right knee,Manute Bol,1994-95,placed on IR with arthroscopic surgery on right knee,knee,77
83,211.0,1994-12-02,Bulls,,Corie Blount,placed on IR with infected right foot,Corie Blount,1994-95,placed on IR with infected right foot,foot,11
84,213.0,1994-12-02,Nuggets,,Reggie Williams,placed on IL with sprained ligament in right knee ,Reggie Williams,1994-95,sprained ligament in right knee ,knee,13
85,216.0,1994-12-04,Blazers,,Aaron McKie,placed on IL with sore right thumb,Aaron McKie,1994-95,sore right thumb,hand,36
86,223.0,1994-12-06,Spurs,,Willie Anderson,placed on IL with strained right elbow,Willie Anderson,1994-95,strained right elbow,arm,24
87,221.0,1994-12-06,Pacers,,Antonio Davis,placed on IR with disc problems in lower back,Antonio Davis,1994-95,placed on IR with disc problems in lower back,back,75
88,225.0,1994-12-07,Kings,,Henry Turner,placed on IL with sprained right big toe,Henry Turner,1994-95,sprained right big toe,foot,63
89,227.0,1994-12-09,Blazers,,James Edwards,placed on IL with bruised right thigh,James Edwards,1994-95,bruised right thigh,upper leg,9
90,232.0,1994-12-10,Spurs,,Julius Nwosu,placed on IR with right tibia stress fracture,Julius Nwosu,1994-95,placed on IR with right tibia stress fracture,lower leg,100
91,230.0,1994-12-10,Pistons,,Oliver Miller,placed on IR with broken fifth metacarpal in right hand (out 2 weeks),Oliver Miller,1994-95,placed on IR with broken fifth metacarpal in right hand ,hand,13
92,233.0,1994-12-12,Bullets,,Don MacLean,placed on IR with chronically sore knees,Don MacLean,1994-95,placed on IR with chronically sore knees,knee,78
93,235.0,1994-12-12,Celtics,,Dino Radja,placed on IR with broken bone in left hand,Dino Radja,1994-95,placed on IR with broken bone in left hand,hand,28
94,236.0,1994-12-12,Celtics,,Tony Harris,plaved on IR with sore knee,Tony Harris,1994-95,plaved on IR with sore knee,knee,16
95,239.0,1994-12-12,Suns,,Aaron Swinson,placed on IL with tendinitis in knee,Aaron Swinson,1994-95,tendinitis in knee,knee,17
96,243.0,1994-12-14,Kings,,Trevor Wilson,placed on IL with strained right elbow,Trevor Wilson,1994-95,strained right elbow,arm,26
97,246.0,1994-12-15,Nuggets,,Darnell Mee,placed on IL with sprained right ankle,Darnell Mee,1994-95,sprained right ankle,foot,32
