,Date,Team,Affected Player,Season,Injury Part,Injury Duration,7_day_distance_avg,28_day_distance_avg,Acute-Chronic Workload Ratio,foot,knee,lower leg,upper leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,lower leg_count,upper leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count,Total Duration,Total num. of inj
0,2013-11-12,Lakers,Steve Nash,2013-14,back,84,0.6742857142857144,0.7328571428571429,0.9200779727095516,0,0,50,0,3,0,0,14,0,0,0,0,1,0,2,0,0,1,0,0,67,4
1,2013-11-12,Warriors,Toney Douglas,2013-14,lower leg,27,0.4914285714285714,0.6421428571428571,0.7652947719688542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013-11-15,Hornets,Al Jefferson,2013-14,foot,7,0.5457142857142857,0.3358823529411765,1.624718538904178,50,226,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,276,6
3,2013-11-15,Pistons,Chauncey Billups,2013-14,knee,25,0.4671428571428571,0.6070588235294117,0.7695182724252493,382,6,67,17,0,0,6,41,7,0,3,3,7,1,0,0,1,1,1,0,526,17
4,2013-11-16,Pelicans,Greg Stiemsma,2013-14,knee,44,0.16999999999999998,0.4877777777777778,0.3485193621867881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2013-11-16,Nets,Paul Pierce,2013-14,upper leg,2,0.9171428571428571,0.8594444444444445,1.0671345461261428,68,12,0,0,0,0,9,0,0,0,3,1,0,1,0,0,2,0,0,0,89,7
6,2013-11-16,Knicks,Metta World Peace,2013-14,knee,4,0.6828571428571427,0.7205555555555555,0.947681462716158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013-11-16,Nets,Kevin Garnett,2013-14,foot,2,0.6685714285714285,0.6861111111111111,0.9744360902255638,6,206,0,16,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,228,7
8,2013-11-17,Cavaliers,Will Bynum,2013-14,upper leg,8,0.4314285714285714,0.5947368421052631,0.7254108723135272,35,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,37,3
9,2013-11-18,Nets,Brook Lopez,2013-14,foot,11,0.5814285714285715,0.789,0.7369183414810792,267,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,267,4
10,2013-11-18,Warriors,Jermaine O'Neal,2013-14,knee,8,0.49,0.518,0.9459459459459458,22,223,11,12,2,0,58,44,5,0,4,13,4,1,1,0,1,1,2,0,377,27
